neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(64,)",1,64,1882,0.12341457605361938,399
"(64, 64)",2,64,6042,0.07641851156949997,400
"(256,)",1,256,7450,0.08470664918422699,398
"(64, 64, 64)",3,64,10202,0.061401546001434326,388
"(64, 64, 64, 64)",4,64,14362,0.05701262131333351,397
"(64, 64, 64, 64, 64)",5,64,18522,0.04798336699604988,397
"(1024,)",1,1024,29722,0.07754478603601456,399
"(2048,)",1,2048,59418,0.07783368974924088,357
"(256, 256)",2,256,73242,0.06014245003461838,394
"(4096,)",1,4096,118810,0.09262382239103317,224
"(256, 256, 256)",3,256,139034,0.05059722065925598,381
"(6000,)",1,6000,174026,0.08559907227754593,397
"(256, 256, 256, 256)",4,256,204826,0.0455022007226944,375
"(256, 256, 256, 256, 256)",5,256,270618,0.042442917823791504,374
"(1024, 1024)",2,1024,1079322,0.05756227299571037,396
"(1024, 1024, 1024)",3,1024,2128922,0.04673966392874718,393
"(1024, 1024, 1024, 1024)",4,1024,3178522,0.043832723051309586,395
"(1024, 1024, 1024, 1024, 1024)",5,1024,4228122,0.04317152500152588,352
"(2048, 2048)",2,2048,4255770,0.0554814487695694,385
"(4096, 4096)",2,4096,16900122,0.05863242968916893,385
"(4096, 4096, 4096)",3,4096,33681434,0.04876106232404709,381
"(6000, 6000)",2,6000,36180026,0.06121642887592316,382
"(4096, 4096, 4096, 4096)",4,4096,50462746,0.048683859407901764,352
"(4096, 4096, 4096, 4096, 4096)",5,4096,67244058,0.05040191859006882,379
"(6000, 6000, 6000)",3,6000,72186026,0.06213095039129257,268
"(6000, 6000, 6000, 6000)",4,6000,108192026,0.05144127830862999,377
"(6000, 6000, 6000, 6000, 6000)",5,6000,144198026,0.0694703757762909,385
