sample_idx,param,ref,pred,abs_error,sq_error
0,top_to_top,0.00832192,0.0339656,0.0256436,0.000657596
0,top_to_bottom,0.00565012,0.0366892,0.031039,0.000963423
0,top_to_ground,0.0365676,0.0420642,0.00549661,3.02127e-05
0,bottom_to_bottom,0.00692053,0.0404273,0.0335068,0.0011227
0,bottom_to_ground,0.00850165,0.0469174,0.0384157,0.00147577
0,ground_to_ground,0.0110262,0.0392114,0.0281852,0.000794407
1,top_to_top,0.0914762,0.0904356,0.00104056,1.08277e-06
1,top_to_bottom,0.0642074,0.0699539,0.00574648,3.3022e-05
1,top_to_ground,0.158028,0.132009,0.0260188,0.00067698
1,bottom_to_bottom,0.11146,0.112344,0.000884527,7.82389e-07
1,bottom_to_ground,0.142611,0.14218,0.000430591,1.85409e-07
1,ground_to_ground,0.14625,0.137022,0.00922875,8.51698e-05
2,top_to_top,0.402785,0.406321,0.00353572,1.25013e-05
2,top_to_bottom,0.367666,0.389449,0.0217833,0.000474512
2,top_to_ground,0.463301,0.444264,0.0190369,0.000362405
2,bottom_to_bottom,0.414302,0.439102,0.0247999,0.000615036
2,bottom_to_ground,0.443569,0.468934,0.0253654,0.000643401
2,ground_to_ground,0.458855,0.458927,7.23168e-05,5.22971e-09
3,top_to_top,0.404664,0.393958,0.0107061,0.000114621
3,top_to_bottom,0.351577,0.358774,0.00719733,5.18016e-05
3,top_to_ground,0.497,0.451516,0.045484,0.00206879
3,bottom_to_bottom,0.3243,0.351095,0.0267946,0.000717952
3,bottom_to_ground,0.301817,0.350572,0.048755,0.00237705
3,ground_to_ground,0.357188,0.371167,0.0139794,0.000195423
4,top_to_top,0.213806,0.201877,0.0119292,0.000142306
4,top_to_bottom,0.207886,0.187258,0.0206275,0.000425492
4,top_to_ground,0.232536,0.229283,0.00325234,1.05777e-05
4,bottom_to_bottom,0.23125,0.218917,0.0123334,0.000152112
4,bottom_to_ground,0.244814,0.24124,0.00357397,1.27732e-05
4,ground_to_ground,0.241262,0.240672,0.000589898,3.4798e-07
5,top_to_top,0.00833761,0.0399887,0.0316511,0.00100179
5,top_to_bottom,0.0284162,0.0431684,0.0147522,0.000217628
5,top_to_ground,-0.00715509,0.0479042,0.0550593,0.00303152
5,bottom_to_bottom,0.0310503,0.0540466,0.0229963,0.000528828
5,bottom_to_ground,0.0330774,0.0627804,0.029703,0.000882268
5,ground_to_ground,0.0200109,0.051769,0.0317581,0.00100858
6,top_to_top,0.283823,0.251427,0.0323957,0.00104948
6,top_to_bottom,0.327926,0.263801,0.064125,0.00411201
6,top_to_ground,0.204258,0.226714,0.0224568,0.000504309
6,bottom_to_bottom,0.248655,0.230534,0.0181205,0.000328352
6,bottom_to_ground,0.193185,0.207709,0.0145235,0.000210931
6,ground_to_ground,0.196034,0.213798,0.0177644,0.000315574
7,top_to_top,0.0843768,0.0472516,0.0371252,0.00137828
7,top_to_bottom,0.0157538,0.0137085,0.00204536,4.1835e-06
7,top_to_ground,0.228793,0.120558,0.108235,0.0117149
7,bottom_to_bottom,0.0332417,0.0378731,0.00463146,2.14504e-05
7,bottom_to_ground,0.0451727,0.0697497,0.024577,0.000604027
7,ground_to_ground,0.0962689,0.0802286,0.0160402,0.000257289
8,top_to_top,0.260603,0.256851,0.00375234,1.408e-05
8,top_to_bottom,0.210877,0.20856,0.00231711,5.36899e-06
8,top_to_ground,0.353997,0.350679,0.00331766,1.10068e-05
8,bottom_to_bottom,0.346117,0.326023,0.0200944,0.000403786
8,bottom_to_ground,0.435975,0.406867,0.0291075,0.000847248
8,ground_to_ground,0.419407,0.395737,0.0236705,0.000560295
9,top_to_top,0.0470562,0.060394,0.0133378,0.000177898
9,top_to_bottom,0.0397399,0.0514401,0.0117002,0.000136895
9,top_to_ground,0.0797359,0.0852352,0.00549928,3.02421e-05
9,bottom_to_bottom,0.0845253,0.083303,0.0012223,1.49401e-06
9,bottom_to_ground,0.114599,0.104594,0.0100056,0.000100113
9,ground_to_ground,0.100402,0.0950806,0.00532156,2.8319e-05
10,top_to_top,0.430105,0.413008,0.0170965,0.000292291
10,top_to_bottom,0.377793,0.392557,0.0147646,0.000217994
10,top_to_ground,0.519088,0.462308,0.0567798,0.00322395
10,bottom_to_bottom,0.38609,0.411217,0.0251274,0.000631389
10,bottom_to_ground,0.388879,0.424036,0.0351566,0.00123598
10,ground_to_ground,0.423986,0.423864,0.000121409,1.47401e-08
11,top_to_top,0.448446,0.449116,0.000669331,4.48004e-07
11,top_to_bottom,0.321001,0.344067,0.023066,0.000532038
11,top_to_ground,0.670319,0.676304,0.00598504,3.58207e-05
11,bottom_to_bottom,0.558098,0.586012,0.0279143,0.00077921
11,bottom_to_ground,0.717224,0.760795,0.043571,0.00189843
11,ground_to_ground,0.709871,0.722453,0.0125824,0.000158318
12,top_to_top,0.148721,0.123798,0.0249234,0.000621174
