sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled
0,top_to_top,14.9139,16.9897,2.07576,4.30878
0,top_to_bottom,0.6691,2.3488,1.6797,2.82139
0,top_to_ground,14.0524,14.21,0.157644,0.0248517
0,bottom_to_bottom,13.6226,18.075,4.45248,19.8246
0,bottom_to_ground,12.7856,15.7947,3.00904,9.05431
0,ground_to_ground,58.0137,61.2124,3.19865,10.2314
1,top_to_top,21.645,21.5608,0.0842295,0.00709461
1,top_to_bottom,3.83797,4.14894,0.310974,0.0967051
1,top_to_ground,17.5359,16.7896,0.746227,0.556855
1,bottom_to_bottom,27.514,27.6316,0.117538,0.0138153
1,bottom_to_ground,23.2902,23.2565,0.0337274,0.00113754
1,ground_to_ground,73.3599,72.3125,1.04734,1.09693
2,top_to_top,46.8443,47.1306,0.286204,0.0819128
2,top_to_bottom,20.2598,21.4386,1.17882,1.38961
2,top_to_ground,26.2912,25.7452,0.545985,0.2981
2,bottom_to_bottom,67.7566,71.0521,3.29549,10.8602
2,bottom_to_ground,46.8637,48.8505,1.98682,3.94747
2,ground_to_ground,108.836,108.845,0.00820872,6.7383e-05
3,top_to_top,46.9964,46.1298,0.866622,0.751034
3,top_to_bottom,19.3892,19.7787,0.389489,0.151702
3,top_to_ground,27.2577,25.9532,1.3045,1.70171
3,bottom_to_bottom,55.7969,59.3575,3.56055,12.6775
3,bottom_to_ground,35.7605,39.5794,3.81889,14.5839
3,ground_to_ground,97.2985,98.885,1.58648,2.51691
4,top_to_top,31.5472,30.5815,0.965627,0.932435
4,top_to_bottom,11.6132,10.497,1.11627,1.24606
4,top_to_ground,19.6728,19.5795,0.0932774,0.00870068
4,bottom_to_bottom,43.4322,41.7933,1.63889,2.68598
4,bottom_to_ground,31.2956,31.0157,0.279943,0.0783678
4,ground_to_ground,84.1424,84.0755,0.0669453,0.00448167
5,top_to_top,14.9152,17.4773,2.56204,6.56405
5,top_to_bottom,1.9011,2.69943,0.798326,0.637325
5,top_to_ground,12.7984,14.3775,1.57912,2.49361
5,bottom_to_bottom,16.829,19.8848,3.05581,9.33799
5,bottom_to_ground,14.7106,17.0372,2.32658,5.413
5,ground_to_ground,59.0333,62.6375,3.60413,12.9897
6,top_to_top,37.2148,34.5925,2.62232,6.87654
6,top_to_bottom,18.1093,14.6391,3.47017,12.0421
6,top_to_ground,18.8618,19.5058,0.644069,0.414825
6,bottom_to_bottom,45.7449,43.337,2.4079,5.798
6,bottom_to_ground,27.2516,28.3892,1.1376,1.29413
6,ground_to_ground,79.0096,81.0256,2.01602,4.06436
7,top_to_top,21.0703,18.0652,3.00515,9.03094
7,top_to_bottom,1.21587,1.10518,0.110686,0.0122514
7,top_to_ground,19.5654,16.4612,3.10422,9.63617
7,bottom_to_bottom,17.1202,17.7356,0.615442,0.378769
7,bottom_to_ground,15.658,17.5831,1.92507,3.7059
7,ground_to_ground,67.6876,65.8673,1.82036,3.3137
8,top_to_top,35.3352,35.0315,0.303738,0.0922567
8,top_to_bottom,11.7751,11.6497,0.125392,0.0157231
8,top_to_ground,23.1563,23.0612,0.0951513,0.00905378
8,bottom_to_bottom,58.696,56.0258,2.67021,7.13
8,bottom_to_ground,46.2689,43.989,2.27994,5.19814
8,ground_to_ground,104.36,101.673,2.68629,7.21617
9,top_to_top,18.0494,19.129,1.07965,1.16565
9,top_to_bottom,2.51389,3.14706,0.633166,0.400899
9,top_to_ground,15.2904,15.4482,0.157722,0.0248761
9,bottom_to_bottom,23.9349,23.7725,0.162422,0.0263809
9,bottom_to_ground,21.0961,20.3124,0.783724,0.614223
9,ground_to_ground,68.1567,67.5528,0.603927,0.364728
10,top_to_top,49.0558,47.6719,1.3839,1.91518
10,top_to_bottom,20.8079,21.6069,0.798997,0.638397
10,top_to_ground,27.8912,26.2627,1.62846,2.65189
10,bottom_to_bottom,64.0077,67.3467,3.33901,11.149
10,bottom_to_ground,42.58,45.3337,2.75375,7.58316
10,ground_to_ground,104.879,104.865,0.0137801,0.000189893
11,top_to_top,50.5405,50.5946,0.0541812,0.0029356
11,top_to_bottom,17.7345,18.9828,1.24823,1.55808
11,top_to_ground,32.2285,32.4002,0.171655,0.0294653
11,bottom_to_bottom,86.8646,90.574,3.70934,13.7592
