Sample,pred_H_params,ref_H_params,simulation_time
0,"{'qubit_frequency_GHz': 4.1112190775857265, 'anharmonicity_MHz': -150.53712907086947}","{'qubit_frequency_GHz': 4.1150775, 'anharmonicity_MHz': -150.84438}",94.0757916001603
1,"{'qubit_frequency_GHz': 3.9767116585944517, 'anharmonicity_MHz': -140.0546583446669}","{'qubit_frequency_GHz': 3.9594858, 'anharmonicity_MHz': -138.74413}",115.36013619997539
2,"{'qubit_frequency_GHz': 5.042569431385095, 'anharmonicity_MHz': -235.8996165376226}","{'qubit_frequency_GHz': 5.0472584, 'anharmonicity_MHz': -236.38904}",82.89343990013003
3,"{'qubit_frequency_GHz': 4.585383969053769, 'anharmonicity_MHz': -191.1207841926732}","{'qubit_frequency_GHz': 4.585577, 'anharmonicity_MHz': -191.13847}",83.55884720012546
4,"{'qubit_frequency_GHz': 5.270652691125967, 'anharmonicity_MHz': -260.4417802707033}","{'qubit_frequency_GHz': 5.2637215, 'anharmonicity_MHz': -259.67355}",86.35482800006866
5,"{'qubit_frequency_GHz': 4.185491406029488, 'anharmonicity_MHz': -156.51668063252444}","{'qubit_frequency_GHz': 4.196911, 'anharmonicity_MHz': -157.44827}",88.96817940007895
6,"{'qubit_frequency_GHz': 4.364494136980156, 'anharmonicity_MHz': -171.4977904446009}","{'qubit_frequency_GHz': 4.376268, 'anharmonicity_MHz': -172.51173}",101.3031293998938
7,"{'qubit_frequency_GHz': 3.7041309922246644, 'anharmonicity_MHz': -120.15062378490704}","{'qubit_frequency_GHz': 3.651761, 'anharmonicity_MHz': -116.52755}",129.46773889986798
8,"{'qubit_frequency_GHz': 3.649108646546301, 'anharmonicity_MHz': -116.34574815036025}","{'qubit_frequency_GHz': 3.5956206, 'anharmonicity_MHz': -112.71436}",93.17650839989074
9,"{'qubit_frequency_GHz': 4.178029326635841, 'anharmonicity_MHz': -155.90970946714043}","{'qubit_frequency_GHz': 4.1885505, 'anharmonicity_MHz': -156.76588}",90.89915670012124
10,"{'qubit_frequency_GHz': 3.9158066393005804, 'anharmonicity_MHz': -135.45319526364887}","{'qubit_frequency_GHz': 3.8902614, 'anharmonicity_MHz': -133.54985}",92.32319750008173
11,"{'qubit_frequency_GHz': 4.111196683448, 'anharmonicity_MHz': -150.5353468132853}","{'qubit_frequency_GHz': 4.1150255, 'anharmonicity_MHz': -150.84024}",94.72404589992948
12,"{'qubit_frequency_GHz': 4.038697890624537, 'anharmonicity_MHz': -144.83030222276838}","{'qubit_frequency_GHz': 4.029072, 'anharmonicity_MHz': -144.08252}",92.54487239988521
13,"{'qubit_frequency_GHz': 3.375463866994888, 'anharmonicity_MHz': -98.45661141292616}","{'qubit_frequency_GHz': 3.3051536, 'anharmonicity_MHz': -94.13327}",131.16903019999154
14,"{'qubit_frequency_GHz': 17.667607666402475, 'anharmonicity_MHz': -10487.092110549867}","{'qubit_frequency_GHz': 5.731559, 'anharmonicity_MHz': -314.81882}",142.87378490017727
