ref_qubit_frequency_GHz,ref_anharmonicity_MHz,ref_connection_pads.readout.claw_length,ref_connection_pads.readout.ground_spacing,ref_cross_length,pred_qubit_frequency_GHz,pred_anharmonicity_MHz,pred_connection_pads.readout.claw_length,pred_connection_pads.readout.ground_spacing,pred_cross_length
4.1150775,-150.84438,0.00018,5e-06,0.00026,4.110201,-151.17564,9.344774e-05,4.4770386e-06,0.00026917816
3.9594858,-138.74413,1e-04,1e-05,0.00029,3.9587145,-138.94519,9.079116e-05,4.5505085e-06,0.00028699022
5.0472584,-236.38904,0.00011,4.1e-06,0.00018,5.0306087,-235.46786,0.000114809445,4.6768937e-06,0.00018032061
4.585577,-191.13847,0.00013,5e-06,0.00021,4.5834956,-191.34407,0.00010486861,4.4675858e-06,0.00021728207
5.2637215,-259.67355,9e-05,5e-06,0.00016,5.260493,-261.26547,0.00011419407,4.8760235e-06,0.00016529243
4.196911,-157.44827,1e-04,5e-06,0.00025,4.1891108,-157.69154,9.535995e-05,4.4730045e-06,0.00026005207
4.376268,-172.51173,0.00014,9.1e-06,0.00023,4.3664513,-172.38646,9.962436e-05,4.462301e-06,0.00023971006
3.651761,-116.52755,7e-05,4.1e-06,0.00034,3.6540027,-117.12741,9.424628e-05,5.165622e-06,0.00032970717
3.5956206,-112.71436,0.00026,1e-05,0.00035000002,3.5948586,-112.93101,9.500754e-05,5.142846e-06,0.00034056426
4.1885505,-156.76588,0.000120000004,9.1e-06,0.00025,4.1810083,-157.0225,9.516363e-05,4.473441e-06,0.0002609889
3.8902614,-133.54985,8e-05,5e-06,0.00029,3.8887117,-133.9146,9.135633e-05,4.7082412e-06,0.00029615776
4.1150255,-150.84024,0.00017,5e-06,0.00026,4.1101513,-151.17155,9.3446535e-05,4.477041e-06,0.00026918392
4.029072,-144.08252,0.00011,4.1e-06,0.00028,4.028208,-144.4049,9.146029e-05,4.480714e-06,0.00027866638
3.3051536,-94.13327,0.00022,1e-05,0.0004,3.303743,-94.06018,9.891326e-05,5.0140457e-06,0.00039591946
5.731559,-314.81882,7e-05,4.1e-06,0.00014,5.7253933,-315.86987,0.00013605737,4.5655524e-06,0.00014130141
3.221864,-89.15366,0.00035000002,4.1e-06,0.00042,3.22915,-89.252975,0.00010002317,4.973788e-06,0.00041154356
