sample_number,sigma_multiplier,sigma_for_gauss,test_set_index_as_gauss_mean,design_options.connection_pads.readout.claw_length,design_options.connection_pads.readout.ground_spacing,design_options.cross_length,surrogate_pred_qubit_frequency_GHz,surrogate_pred_anharmonicity_MHz,target_qubit_frequency_GHz,target_anharmonicity_MHz
1,-2,40,84,0.000290928,9.64033e-07,0.000130233,6.3452,-398.658,5.05804,-237.516
2,-1.78947,40,84,0.00027083,1.29413e-06,0.000135472,6.16821,-373.601,5.05804,-237.516
3,-1.57895,40,84,0.000250733,1.62424e-06,0.00014071,5.99499,-349.405,5.05804,-237.516
4,-1.36842,40,84,0.000230635,1.95434e-06,0.000145949,5.8461,-330.306,5.05804,-237.516
5,-1.15789,40,84,0.000210537,2.28444e-06,0.000151188,5.71434,-314.182,5.05804,-237.516
6,-0.947368,40,84,0.00019044,2.61454e-06,0.000156426,5.59136,-299.652,5.05804,-237.516
7,-0.736842,40,84,0.000170342,2.94464e-06,0.000161665,5.4681,-285.187,5.05804,-237.516
8,-0.526316,40,84,0.000150244,3.27475e-06,0.000166903,5.34484,-270.722,5.05804,-237.516
9,-0.315789,40,84,0.000130147,3.60485e-06,0.000172142,5.22158,-256.257,5.05804,-237.516
10,-0.105263,40,84,0.000110049,3.93495e-06,0.000177381,5.09984,-242.2,5.05804,-237.516
11,0.105263,40,84,8.99512e-05,4.26505e-06,0.000182619,4.98099,-228.911,5.05804,-237.516
12,0.315789,40,84,6.98535e-05,4.59515e-06,0.000187858,4.88459,-218.941,5.05804,-237.516
13,0.526316,40,84,4.97558e-05,4.92525e-06,0.000193097,4.79242,-210.098,5.05804,-237.516
14,0.736842,40,84,2.96581e-05,5.25536e-06,0.000198335,4.70394,-202.313,5.05804,-237.516
15,0.947368,40,84,9.56037e-06,5.58546e-06,0.000203574,4.61545,-194.529,5.05804,-237.516
16,1.15789,40,84,-1.05373e-05,5.91556e-06,0.000208812,4.50979,-185.464,5.05804,-237.516
17,1.36842,40,84,-3.0635e-05,6.24566e-06,0.000214051,4.43274,-179.278,5.05804,-237.516
18,1.57895,40,84,-5.07327e-05,6.57576e-06,0.00021929,4.36229,-173.619,5.05804,-237.516
19,1.78947,40,84,-7.08304e-05,6.90587e-06,0.000224528,4.31691,-169.772,5.05804,-237.516
20,2,40,84,-9.09281e-05,7.23597e-06,0.000229767,4.27154,-165.932,5.05804,-237.516
