pred_H_params,surrogate_H_params,target_H_params,sigma_for_gauss,simulation_time,Sample
"{'qubit_frequency_GHz': 3.594655556045133, 'anharmonicity_MHz': -112.64943095390834}","{'qubit_frequency_GHz': 3.53394, 'anharmonicity_MHz': -108.344}","{'qubit_frequency_GHz': 3.53098, 'anharmonicity_MHz': -108.414}",1.0,233.48553159995936,0
"{'qubit_frequency_GHz': 3.699579207401557, 'anharmonicity_MHz': -119.83318205238191}","{'qubit_frequency_GHz': 3.68968, 'anharmonicity_MHz': -119.264}","{'qubit_frequency_GHz': 3.70356, 'anharmonicity_MHz': -120.11}",1.0,136.3366318999324,1
"{'qubit_frequency_GHz': 5.6162738071874685, 'anharmonicity_MHz': -300.59545581512737}","{'qubit_frequency_GHz': 5.61283, 'anharmonicity_MHz': -299.981}","{'qubit_frequency_GHz': 5.52651, 'anharmonicity_MHz': -289.813}",1.0,138.7570539000444,2
"{'qubit_frequency_GHz': 4.653139436600648, 'anharmonicity_MHz': -197.39738243947613}","{'qubit_frequency_GHz': 4.56252, 'anharmonicity_MHz': -189.01}","{'qubit_frequency_GHz': 4.58312, 'anharmonicity_MHz': -190.914}",1.0,86.73054339992814,3
"{'qubit_frequency_GHz': 4.5877771665447895, 'anharmonicity_MHz': -191.34039808109904}","{'qubit_frequency_GHz': 4.49648, 'anharmonicity_MHz': -183.173}","{'qubit_frequency_GHz': 4.47753, 'anharmonicity_MHz': -181.38}",1.0,191.19458830007352,4
"{'qubit_frequency_GHz': 4.15694839554879, 'anharmonicity_MHz': -154.2024827775723}","{'qubit_frequency_GHz': 4.09123, 'anharmonicity_MHz': -148.762}","{'qubit_frequency_GHz': 4.11319, 'anharmonicity_MHz': -150.694}",1.0,198.96213560015894,5
"{'qubit_frequency_GHz': 3.5866185705824307, 'anharmonicity_MHz': -112.10967305840569}","{'qubit_frequency_GHz': 3.58502, 'anharmonicity_MHz': -112.163}","{'qubit_frequency_GHz': 3.59422, 'anharmonicity_MHz': -112.62}",1.0,173.24704049993306,6
"{'qubit_frequency_GHz': 4.078064655210294, 'anharmonicity_MHz': -147.9120760959791}","{'qubit_frequency_GHz': 4.01582, 'anharmonicity_MHz': -142.538}","{'qubit_frequency_GHz': 4.03405, 'anharmonicity_MHz': -144.469}",1.0,116.70101419999264,7
"{'qubit_frequency_GHz': 4.34249631949902, 'anharmonicity_MHz': -169.6128479476826}","{'qubit_frequency_GHz': 4.26888, 'anharmonicity_MHz': -163.516}","{'qubit_frequency_GHz': 4.28793, 'anharmonicity_MHz': -164.991}",1.0,94.87640849989839,8
"{'qubit_frequency_GHz': 3.417075973218818, 'anharmonicity_MHz': -101.06736783487413}","{'qubit_frequency_GHz': 3.40129, 'anharmonicity_MHz': -100.062}","{'qubit_frequency_GHz': 3.40268, 'anharmonicity_MHz': -100.16}",1.0,168.9509862998966,9
