neurons_per_layer,depth,width,total_params,best_val_loss,best_epoch
"(4,)",1,4,43,0.1418101787567138,400
"(4, 4)",2,4,63,0.0402368828654289,397
"(8,)",1,8,83,0.0289824847131967,398
"(4, 4, 4)",3,4,83,0.1450015157461166,400
"(4, 4, 4, 4)",4,4,103,0.1430405676364898,396
"(4, 4, 4, 4, 4)",5,4,123,0.0625064149498939,400
"(8, 8)",2,8,155,0.0216484703123569,399
"(16,)",1,16,163,0.0235555134713649,391
"(8, 8, 8)",3,8,227,0.0193173717707395,393
"(8, 8, 8, 8)",4,8,299,0.0178394224494695,390
"(32,)",1,32,323,0.0192104149609804,396
"(8, 8, 8, 8, 8)",5,8,371,0.0149282487109303,393
"(16, 16)",2,16,435,0.0177271571010351,387
"(64,)",1,64,643,0.0151361301541328,400
"(16, 16, 16)",3,16,707,0.0116490526124835,387
"(16, 16, 16, 16)",4,16,979,0.0135509073734283,391
"(16, 16, 16, 16, 16)",5,16,1251,0.0122889252379536,395
"(128,)",1,128,1283,0.0139338113367557,395
"(32, 32)",2,32,1379,0.0119590843096375,396
"(32, 32, 32)",3,32,2435,0.011197293177247,391
"(256,)",1,256,2563,0.0106821535155177,396
"(32, 32, 32, 32)",4,32,3491,0.0076670665293931,391
"(32, 32, 32, 32, 32)",5,32,4547,0.0085492683574557,394
"(64, 64)",2,64,4803,0.008724239654839,350
"(512,)",1,512,5123,0.0121006369590759,377
"(64, 64, 64)",3,64,8963,0.0083056362345814,379
"(1024,)",1,1024,10243,0.0158363077789545,384
"(64, 64, 64, 64)",4,64,13123,0.0090050334110856,389
"(64, 64, 64, 64, 64)",5,64,17283,0.0080099962651729,398
"(128, 128)",2,128,17795,0.0089202309027314,397
"(2048,)",1,2048,20483,0.0212253704667091,396
"(128, 128, 128)",3,128,34307,0.0084228990599513,388
"(4096,)",1,4096,40963,0.0357960537075996,348
"(5000,)",1,5000,50003,0.0420579276978969,303
"(128, 128, 128, 128)",4,128,50819,0.0088505633175373,393
"(6000,)",1,6000,60003,0.0471191368997097,380
"(128, 128, 128, 128, 128)",5,128,67331,0.0088458405807614,396
"(256, 256)",2,256,68355,0.0096520604565739,377
"(256, 256, 256)",3,256,134147,0.0095244068652391,380
"(256, 256, 256, 256)",4,256,199939,0.0088712768629193,399
"(256, 256, 256, 256, 256)",5,256,265731,0.0106486743316054,397
"(512, 512)",2,512,267779,0.0119995670393109,373
"(512, 512, 512)",3,512,530435,0.0125832762569189,313
"(512, 512, 512, 512)",4,512,793091,0.0109134968370199,384
"(512, 512, 512, 512, 512)",5,512,1055747,0.0113728614524006,380
"(1024, 1024)",2,1024,1059843,0.0149308629333972,371
"(1024, 1024, 1024)",3,1024,2109443,0.0148041490465402,378
"(1024, 1024, 1024, 1024)",4,1024,3159043,0.0153266480192542,387
"(1024, 1024, 1024, 1024, 1024)",5,1024,4208643,0.0137258414179086,372
"(2048, 2048)",2,2048,4216835,0.0189894158393144,395
"(2048, 2048, 2048)",3,2048,8413187,0.0191745162010192,381
"(2048, 2048, 2048, 2048)",4,2048,12609539,0.0212557017803192,395
"(2048, 2048, 2048, 2048, 2048)",5,2048,16805891,0.0209460463374853,395
"(4096, 4096)",2,4096,16822275,0.0265152361243963,393
"(5000, 5000)",2,5000,25055003,0.0291513204574584,392
"(4096, 4096, 4096)",3,4096,33603587,0.0293479394167661,385
"(6000, 6000)",2,6000,36066003,0.0327963717281818,379
"(5000, 5000, 5000)",3,5000,50060003,0.0323293320834636,393
"(4096, 4096, 4096, 4096)",4,4096,50384899,0.0339428968727588,399
"(4096, 4096, 4096, 4096, 4096)",5,4096,67166211,0.0515253879129886,396
"(6000, 6000, 6000)",3,6000,72072003,0.0370744504034519,390
"(5000, 5000, 5000, 5000)",4,5000,75065003,0.044589165598154,389
"(5000, 5000, 5000, 5000, 5000)",5,5000,100070003,0.0667275264859199,395
"(6000, 6000, 6000, 6000)",4,6000,108078003,0.0573734231293201,390
"(6000, 6000, 6000, 6000, 6000)",5,6000,144084003,0.1026414111256599,396
"(4,)",1,4,43,0.14181017875671387,400
"(4, 4)",2,4,63,0.040236882865428925,397
"(8,)",1,8,83,0.028982484713196754,398
"(4, 4, 4)",3,4,83,0.14500151574611664,400
"(4, 4, 4, 4)",4,4,103,0.14304056763648987,396
"(4, 4, 4, 4, 4)",5,4,123,0.06250641494989395,400
"(8, 8)",2,8,155,0.02164847031235695,399
"(16,)",1,16,163,0.023555513471364975,391
"(8, 8, 8)",3,8,227,0.019317371770739555,393
"(8, 8, 8, 8)",4,8,299,0.017839422449469566,390
"(32,)",1,32,323,0.019210414960980415,396
"(8, 8, 8, 8, 8)",5,8,371,0.014928248710930347,393
"(16, 16)",2,16,435,0.017727157101035118,387
"(64,)",1,64,643,0.015136130154132843,400
"(16, 16, 16)",3,16,707,0.011649052612483501,387
"(16, 16, 16, 16)",4,16,979,0.013550907373428345,391
"(16, 16, 16, 16, 16)",5,16,1251,0.012288925237953663,395
"(128,)",1,128,1283,0.013933811336755753,395
"(32, 32)",2,32,1379,0.011959084309637547,396
"(32, 32, 32)",3,32,2435,0.011197293177247047,391
"(256,)",1,256,2563,0.010682153515517712,396
"(32, 32, 32, 32)",4,32,3491,0.007667066529393196,391
"(32, 32, 32, 32, 32)",5,32,4547,0.00854926835745573,394
"(64, 64)",2,64,4803,0.008724239654839039,350
"(512,)",1,512,5123,0.012100636959075928,377
"(64, 64, 64)",3,64,8963,0.00830563623458147,379
"(1024,)",1,1024,10243,0.015836307778954506,384
"(64, 64, 64, 64)",4,64,13123,0.009005033411085606,389
"(64, 64, 64, 64, 64)",5,64,17283,0.008009996265172958,398
"(128, 128)",2,128,17795,0.008920230902731419,397
"(2048,)",1,2048,20483,0.021225370466709137,396
"(128, 128, 128)",3,128,34307,0.008422899059951305,388
"(4096,)",1,4096,40963,0.03579605370759964,348
"(5000,)",1,5000,50003,0.04205792769789696,303
"(128, 128, 128, 128)",4,128,50819,0.008850563317537308,393
"(6000,)",1,6000,60003,0.0471191368997097,380
"(128, 128, 128, 128, 128)",5,128,67331,0.008845840580761433,396
"(256, 256)",2,256,68355,0.009652060456573963,377
"(256, 256, 256)",3,256,134147,0.009524406865239143,380
"(256, 256, 256, 256)",4,256,199939,0.00887127686291933,399
