ref_qubit_frequency_GHz,ref_anharmonicity_MHz,ref_connection_pads.readout.claw_length,ref_connection_pads.readout.ground_spacing,ref_cross_length,pred_qubit_frequency_GHz,pred_anharmonicity_MHz,pred_connection_pads.readout.claw_length,pred_connection_pads.readout.ground_spacing,pred_cross_length
4.1150775,-150.84438,0.00018,5e-06,0.00026,4.1139092,-151.46773,0.00015306695,4.6089444e-06,0.00026731595
3.9594858,-138.74413,1e-04,1e-05,0.00029,3.9536397,-138.52214,0.00016725555,4.715651e-06,0.00028637616
5.0472584,-236.38904,0.00011,4.1e-06,0.00018,5.0456347,-236.99895,6.612668e-05,4.291453e-06,0.00018191991
4.585577,-191.13847,0.00013,5e-06,0.00021,4.584703,-191.73155,0.000108644854,4.3413324e-06,0.00021843344
5.2637215,-259.67355,9e-05,5e-06,0.00016,5.2559633,-260.55206,4.761122e-05,4.2969305e-06,0.00016931257
4.196911,-157.44827,1e-04,5e-06,0.00025,4.191296,-157.83856,0.00014823322,4.5424085e-06,0.00025904103
4.376268,-172.51173,0.00014,9.1e-06,0.00023,4.375732,-173.10477,0.00013478304,4.4230637e-06,0.00023908055
3.651761,-116.52755,7e-05,4.1e-06,0.00034,3.650518,-116.904076,0.00020611737,5.0781905e-06,0.00033024536
3.5956206,-112.71436,0.00026,1e-05,0.00035000002,3.5946019,-112.94436,0.00021528726,5.1698994e-06,0.00034051726
4.1885505,-156.76588,0.000120000004,9.1e-06,0.00025,4.1833444,-157.1839,0.00014872986,4.549214e-06,0.00025989168
3.8902614,-133.54985,8e-05,5e-06,0.00029,3.885881,-133.68642,0.0001756662,4.7863123e-06,0.00029595976
4.1150255,-150.84024,0.00017,5e-06,0.00026,4.1138606,-151.46371,0.00015307004,4.6089867e-06,0.00026732116
4.029072,-144.08252,0.00011,4.1e-06,0.00028,4.0282354,-144.39738,0.00015908819,4.652811e-06,0.00027680607
3.3051536,-94.13327,0.00022,1e-05,0.0004,3.3051353,-93.773125,0.00026234268,5.687934e-06,0.0003921634
5.731559,-314.81882,7e-05,4.1e-06,0.00014,5.731866,-316.31244,4.6679823e-05,4.308846e-06,0.00014249163
3.221864,-89.15366,0.00035000002,4.1e-06,0.00042,3.2243555,-88.72157,0.00027578833,5.8465525e-06,0.0004063966
7.126586,-525.81836,7e-05,4.1e-06,9e-05,7.019231,-502.40805,0.00047202394,3.2491434e-06,9.6895936e-05
5.7285047,-314.43652,8e-05,1e-05,0.00014,5.7285566,-315.883,4.658343e-05,4.308265e-06,0.00014264516
3.263812,-91.64246,0.00028,4.1e-06,0.00041,3.2625344,-91.21634,0.0002690274,5.7666916e-06,0.00039924364
4.186732,-156.6177,0.00018,4.1e-06,0.00026,4.1816154,-157.04156,0.00014883783,4.550694e-06,0.0002600766
3.3006408,-93.85955,0.00031,4.1e-06,0.0004,3.3004763,-93.49352,0.0002630734,5.696533e-06,0.00039293774
5.264033,-259.70804,0.00011,9.1e-06,0.00016,5.2562737,-260.58682,4.7584213e-05,4.29694e-06,0.00016929395
3.6397588,-115.70621,0.00025,5e-06,0.00033,3.638536,-116.05557,0.0002080812,5.0978047e-06,0.00033244648
3.533611,-108.58691,0.00020000001,9.1e-06,0.00035000002,3.5332236,-108.59787,0.00022536924,5.271089e-06,0.00035179267
4.9610868,-227.49472,0.00014,5e-06,0.00018,4.9568434,-228.00548,7.377085e-05,4.302773e-06,0.00018864837
3.3465166,-96.663315,0.00024,4.1e-06,0.00039,3.3479345,-96.34163,0.00025563294,5.6090853e-06,0.00038504868
3.5415413,-109.10982,0.00021,4.1e-06,0.00036,3.5410507,-109.15213,0.00022408261,5.2581545e-06,0.0003503548
4.034047,-144.46875,0.00025,5e-06,0.00027000002,4.0335083,-144.83676,0.0001586655,4.6522355e-06,0.00027619116
3.9617128,-138.91316,0.00025,9.1e-06,0.00028,3.955715,-138.67326,0.00016698404,4.7133767e-06,0.00028606632
3.8862925,-133.25552,0.00011,1e-05,0.00029999999,3.8820138,-133.41046,0.00017614668,4.790362e-06,0.00029650654
3.9559376,-138.47505,0.00011,4.1e-06,0.00029,3.9501522,-138.27325,0.0001676881,4.7192752e-06,0.00028686956
3.7602336,-124.10311,0.00013,9.1e-06,0.00031,3.760184,-124.71586,0.00019130982,4.918808e-06,0.00031372168
3.827125,-128.91267,0.00018,4.1e-06,0.00031,3.8245919,-129.31245,0.00018328712,4.8506845e-06,0.00030462304
6.1891212,-375.65042,8e-05,4.1e-06,0.000120000004,6.1821613,-376.51294,7.84576e-05,4.4483077e-06,0.0001221718
3.7606227,-124.13079,0.00015,9.1e-06,0.00031,3.7605572,-124.74247,0.00019126329,4.918412e-06,0.00031366904
3.7635794,-124.341156,0.00020000001,4.1e-06,0.00032,3.763393,-124.94484,0.0001909098,4.9154028e-06,0.00031326854
3.818712,-128.30194,0.00021,9.1e-06,0.00029999999,3.8164613,-128.73221,0.00018429906,4.8592565e-06,0.00030577192
3.481471,-105.184425,0.000120000004,9.1e-06,0.00036,3.4819238,-104.96505,0.00023380888,5.356086e-06,0.00036121666
4.03221,-144.32603,0.00013,1e-05,0.00028,4.0315523,-144.67415,0.00015882163,4.652449e-06,0.00027641832
3.5428216,-109.19439,0.00018,1e-05,0.00036,3.5423152,-109.24168,0.0002238748,5.2560654e-06,0.0003501225
