data_augmentation,model_shape,encoding_type,test_loss,train_loss,train_dropout_rate,train_early_stop_patience,train_batch_size,train_val_split,lr_initial,lr_decay_step,lr_decay_rate,lr_stair_case
True,mlp_6_2500_300_4000_2700_29,One Hot,0.007091687526553869,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2500_300_4000_2700_29,Linear,0.007205532863736153,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,"(None, 6) -> (None, 29)",One Hot,0.00983809120953083,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,"(None, 6) -> (None, 29)",Linear,0.010958417318761349,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2000_4700_2200_200_29,One Hot,0.00983809120953083,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2500_2000_4600_2700_29,Linear,0.010958417318761349,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2000_4700_2200_200_29,One Hot,0.00983809120953083,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2500_2000_4600_2700_29,Linear,0.010958417318761349,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2000_4700_2200_200_29,one hot,0.009838112629950047,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2500_300_4000_2700_29,one hot,0.006869065575301647,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_2500_300_4000_2700_29,one hot,0.007265271153301001,mean_squared_error,0.4,50,32,0.15/0.15,0.00091204,100,0.99,False
True,mlp_6_1000_3800_300_400_3,one hot,0.018676606938242912,mean_squared_error,0.4,50,32,0.15/0.15,0.00098201,100,0.99,False
True,mlp_6_1000_3800_300_400_3,one hot,0.019108831882476807,mean_squared_error,0.4,50,32,0.15/0.15,0.00098201,100,0.99,False
True,mlp_2_1000_3800_300_400_3,one hot,0.08336222171783447,mean_squared_error,0.4,50,32,0.15/0.15,0.00098201,100,0.99,False
True,mlp_2_1000_3800_300_400_3,one hot,0.08347176015377045,mean_squared_error,0.4,50,32,0.15/0.15,0.00098201,100,0.99,False
True,mlp_2_2900_1400_1200_1800_3,one hot,0.09797053039073944,mean_squared_error,0.4,50,32,0.15/0.15,0.00098201,100,0.99,False
True,mlp_2_2900_1400_1200_1800_3,one hot,0.09797053039073944,mean_squared_error,0.4,50,32,0.15/0.15,0.00098201,100,0.99,False
True,mlp_2_2900_1400_1200_1800_3,one hot,0.09432649612426758,mean_squared_error,0.4,50,32,0.15/0.15,0.0014041690155863762,100,0.99,False
True,mlp_2_2900_1400_1200_1800_3,one hot,0.09144991636276245,mean_squared_error,0.4,50,32,0.15/0.15,0.0014041690155863762,100,0.99,False
True,mlp_2_2900_1400_1200_1800_3,one hot,0.09135269373655319,mean_squared_error,0.4,50,32,0.15/0.15,0.0014041690155863762,100,0.99,False
True,mlp_2_100_500_1200_3,one hot,0.09235929697751999,mean_squared_error,0,50,32,0.15/0.15,0.0014041690155863762,100,0.99,False
True,mlp_6_64_64_64_64_64_3,one hot,0.007580884732306004,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,mlp_6_64_64_64_64_64_3,one hot,0.008650803938508034,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,mlp_6_64_64_64_64_64_3,one hot,0.008600224740803242,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,mlp_6_64_64_64_64_64_3,one hot,0.00855780765414238,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,mlp_6_64_64_64_64_64_3,one hot,0.009021171368658543,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,mlp_2_90_60_70_320_190_3,one hot,0.2020236998796463,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,mlp_2_90_60_70_320_190_3,one hot,0.2020236998796463,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
