sample_number,sigma_multiplier,sigma_for_gauss,test_set_index_as_gauss_mean,nearest_test_set_index_for_target,design_options.connection_pads.readout.claw_length,design_options.connection_pads.readout.ground_spacing,design_options.cross_length,surrogate_pred_cross_to_ground,surrogate_pred_claw_to_ground,surrogate_pred_cross_to_claw,surrogate_pred_cross_to_cross,surrogate_pred_claw_to_claw,surrogate_pred_ground_to_ground,target_cross_to_ground,target_claw_to_ground,target_cross_to_claw,target_cross_to_cross,target_claw_to_claw,target_ground_to_ground
1,-2,20,-1,282,0.000330464,5.48202e-06,0.000230117,106.522,146.368,15.4902,105.839,162.063,306.068,126.268,110.516,7.85452,126.268,118.952,292.663
2,-1.78947,20,-1,282,0.000320415,5.64707e-06,0.000232736,109.257,143.332,14.626,108.556,158.186,306.112,126.268,110.516,7.85452,126.268,118.952,292.663
3,-1.57895,20,-1,282,0.000310366,5.81212e-06,0.000235355,111.881,140.324,13.7653,111.194,154.357,306.119,126.268,110.516,7.85452,126.268,118.952,292.663
4,-1.36842,20,-1,282,0.000300318,5.97717e-06,0.000237974,114.505,137.317,12.9046,113.832,150.528,306.127,126.268,110.516,7.85452,126.268,118.952,292.663
5,-1.15789,20,-1,282,0.000290269,6.14222e-06,0.000240594,117.036,134.321,12.0486,116.401,146.744,306.07,126.268,110.516,7.85452,126.268,118.952,292.663
6,-0.947368,20,-1,282,0.00028022,6.30727e-06,0.000243213,119.424,131.293,11.2221,118.948,142.954,305.769,126.268,110.516,7.85452,126.268,118.952,292.663
7,-0.736842,20,-1,282,0.000270171,6.47232e-06,0.000245832,121.812,128.265,10.3957,121.495,139.164,305.467,126.268,110.516,7.85452,126.268,118.952,292.663
8,-0.526316,20,-1,282,0.000260122,6.63737e-06,0.000248452,124.2,125.237,9.56918,124.042,135.375,305.165,126.268,110.516,7.85452,126.268,118.952,292.663
9,-0.315789,20,-1,282,0.000250073,6.80242e-06,0.000251071,126.451,122.276,8.76677,126.379,131.647,304.775,126.268,110.516,7.85452,126.268,118.952,292.663
10,-0.105263,20,-1,282,0.000240024,6.96747e-06,0.00025369,128.555,119.387,7.99006,128.494,127.986,304.289,126.268,110.516,7.85452,126.268,118.952,292.663
11,0.105263,20,-1,282,0.000229976,7.13253e-06,0.00025631,130.627,116.441,7.23544,130.578,124.282,303.733,126.268,110.516,7.85452,126.268,118.952,292.663
12,0.315789,20,-1,282,0.000219927,7.29758e-06,0.000258929,132.631,113.225,6.64699,132.58,120.436,302.883,126.268,110.516,7.85452,126.268,118.952,292.663
13,0.526316,20,-1,282,0.000209878,7.46263e-06,0.000261548,134.6,109.927,6.13227,134.543,116.585,301.895,126.268,110.516,7.85452,126.268,118.952,292.663
14,0.736842,20,-1,282,0.000199829,7.62768e-06,0.000264168,136.498,106.547,5.70443,136.435,112.76,300.706,126.268,110.516,7.85452,126.268,118.952,292.663
15,0.947368,20,-1,282,0.00018978,7.79273e-06,0.000266787,138.337,103.116,5.3224,138.272,108.94,299.395,126.268,110.516,7.85452,126.268,118.952,292.663
16,1.15789,20,-1,282,0.000179731,7.95778e-06,0.000269406,140.08,99.6802,4.96633,140.009,105.135,297.97,126.268,110.516,7.85452,126.268,118.952,292.663
17,1.36842,20,-1,282,0.000169682,8.12283e-06,0.000272026,141.903,96.1969,4.62201,141.857,101.271,296.599,126.268,110.516,7.85452,126.268,118.952,292.663
18,1.57895,20,-1,282,0.000159634,8.28788e-06,0.000274645,143.728,92.7199,4.28062,143.707,97.4192,295.243,126.268,110.516,7.85452,126.268,118.952,292.663
19,1.78947,20,-1,282,0.000149585,8.45293e-06,0.000277264,145.556,89.2599,3.94895,145.557,93.6028,293.924,126.268,110.516,7.85452,126.268,118.952,292.663
20,2,20,-1,282,0.000139536,8.61798e-06,0.000279883,147.411,85.8019,3.61754,147.432,89.7916,292.626,126.268,110.516,7.85452,126.268,118.952,292.663
