sample_idx,param,ref,pred,abs_error,sq_error
0,cross_to_ground,0.491077,0.491418,0.000341148,1.16382e-07
0,claw_to_ground,0.333713,0.334445,0.00073177,5.35488e-07
0,cross_to_claw,0.324772,0.323355,0.00141728,2.00869e-06
0,cross_to_cross,0.491077,0.491276,0.000199111,3.9645e-08
0,claw_to_claw,0.33982,0.340507,0.000686476,4.7125e-07
0,ground_to_ground,0.450407,0.445164,0.00524278,2.74867e-05
1,cross_to_ground,0.572236,0.57161,0.000625712,3.91515e-07
1,claw_to_ground,0.119324,0.11743,0.00189428,3.58829e-06
1,cross_to_claw,0.0506088,0.0612604,0.0106515,0.000113455
1,cross_to_cross,0.572236,0.571383,0.000853103,7.27785e-07
1,claw_to_claw,0.111417,0.111346,7.0741e-05,5.00428e-09
1,ground_to_ground,0.423736,0.415688,0.00804859,6.47799e-05
2,cross_to_ground,0.246398,0.249213,0.00281457,7.92183e-06
2,claw_to_ground,0.11066,0.111912,0.00125138,1.56596e-06
2,cross_to_claw,0.160955,0.154666,0.00628901,3.95517e-05
2,cross_to_cross,0.246398,0.249318,0.00291997,8.52623e-06
2,claw_to_claw,0.115185,0.116172,0.00098614,9.72472e-07
2,ground_to_ground,0.206347,0.20143,0.00491744,2.41812e-05
3,cross_to_ground,0.350926,0.350458,0.000468685,2.19665e-07
3,claw_to_ground,0.194021,0.192579,0.00144189,2.07904e-06
3,cross_to_claw,0.199637,0.201295,0.00165782,2.74838e-06
3,cross_to_cross,0.350926,0.350555,0.000371559,1.38056e-07
3,claw_to_claw,0.197093,0.195766,0.00132708,1.76114e-06
3,ground_to_ground,0.304494,0.298396,0.00609788,3.71841e-05
4,cross_to_ground,0.209409,0.211037,0.00162816,2.6509e-06
4,claw_to_ground,0.0814871,0.0825598,0.00107265,1.15059e-06
4,cross_to_claw,0.108319,0.10104,0.00727899,5.29836e-05
4,cross_to_cross,0.209409,0.211003,0.00159433,2.5419e-06
4,claw_to_claw,0.0825209,0.0835242,0.00100331,1.00663e-06
4,ground_to_ground,0.169822,0.16482,0.0050022,2.5022e-05
5,cross_to_ground,0.476305,0.483977,0.00767185,5.88573e-05
5,claw_to_ground,0.112069,0.115012,0.00294337,8.6634e-06
5,cross_to_claw,0.117483,0.115833,0.00164945,2.72068e-06
5,cross_to_cross,0.476305,0.483838,0.00753321,5.67492e-05
5,claw_to_claw,0.11146,0.114543,0.00308319,9.50609e-06
5,ground_to_ground,0.356017,0.357053,0.00103592,1.07313e-06
6,cross_to_ground,0.414738,0.415812,0.00107481,1.15522e-06
6,claw_to_ground,0.249425,0.249446,2.02473e-05,4.09955e-10
6,cross_to_claw,0.1513,0.159295,0.0079949,6.39185e-05
6,cross_to_cross,0.414738,0.415799,0.00106137,1.12651e-06
6,claw_to_claw,0.243995,0.244855,0.000860129,7.39822e-07
6,ground_to_ground,0.367197,0.362878,0.00431923,1.86557e-05
7,cross_to_ground,0.718296,0.717475,0.000821715,6.75215e-07
7,claw_to_ground,0.00693314,0.0146162,0.00768304,5.90291e-05
7,cross_to_claw,0.0484984,0.0421731,0.00632523,4.00085e-05
7,cross_to_cross,0.718296,0.717234,0.00106216,1.12818e-06
7,claw_to_claw,0.0058917,0.0130604,0.00716866,5.13897e-05
7,ground_to_ground,0.477078,0.472332,0.0047459,2.25236e-05
